    CÓDIGO | DESCRIÇÃO                                                |  PREÇO U$         
     55018 | CABO HDMI X 5RCA VIDEO COMPONENTE                        |      15.00
     65982 | CABO HDMI X DVI 20M                                      |      44.00
     31836 | CABO HDMI X DVI-D 1,83M (6 FT)                           |       9.00
     11199 | CABO HDMI X DVI-D 10Mts (10 FT)                          |      19.50
     10305 | CABO HDMI X DVI-D 3,05M (10 FT)                          |      12.50
     10457 | CABO HDMI X DVI-D 5M (15 FT)                             |      17.00
     18315 | CABO HDMI X HDMI  1,83M (6 FT) (E)                       |       6.00
     31101 | CABO HDMI X HDMI 10M                                     |      20.00
     65564 | CABO HDMI X HDMI 20M                                     |      42.00
     30518 | CABO HDMI X HDMI 3,05M (10 FT) (E)                       |       9.00
     51830 | CABO HDMI X HDMI 5,00M                                   |      12.00
     55011 | CABO HDMI X HDMI X-TECH XT-011 1,8M (G)                  |       7.00
     14183 | CABO HDMI X MINI HDMI  1,83M (6 FT) (E)                  |       7.00
     29198 | CABO HDMI X VGA + 3RCA                                   |      15.00
     25418 | CABO KIT 3X1 VGA/USB/AUDIO MICROFINS                     |      13.00
       025 | CABO PARALELO P/ IMPRESSORA (E)                          |       3.00
      1625 | CABO SCSI 50 PINOS                                       |       2.00
        11 | CABO USB 2.0 1.8M P/ IMPRESSORA                          |       2.00
      6633 | CABO USB 2.0 5M P/ IMPRESSORA                            |       2.00
     35586 | CABO USB 2.0 UNIVERSAL PSP/GBA/IPHONE/NDS/B.BE/HTC       |       7.50
     45466 | CABO USB 3.0 1.8M SUPER SPEED                            |       8.00
     33015 | CABO VGA PARA MONITOR / PROJETOR  3Mtrs                  |      10.00
     50551 | CABO VGA PARA MONITOR / PROJETOR  5Mtrs                  |      12.00
     18151 | CABO VGA PARA MONITOR / PROJETOR 1.8Mtrs                 |       7.00
     55110 | CABO VGA PARA MONITOR / PROJETOR 10Mtrs                  |      23.00
     44153 | CABO VGA PARA MONITOR / PROJETOR 20Mtrs                  |      39.00
     33663 | CABO VGA PARA MONITOR / PROJETOR 30Mtrs                  |      63.00
     31522 | CABO VGA X 3RCA VIDEO COMPONENTE                         |      13.00
       128 | CALCUL. HP 12C FINANC. GOLD PORTUGUES                    |      70.00
      5978 | CALCUL. HP 12C FINANC. PLATINUM INGLES                   |      75.00
      5095 | CALCUL. HP 50G GRAFICA PORTUGUES                         |     108.00
     10865 | CAM.  BATERIA REC. BAK BK-FD1/BD1 700MAH                 |       8.00
     10858 | CAM.  BATERIA REC. BAK BK-FG1/BG1 1000MAH                |       9.00
     10926 | CAM.  BATERIA REC. BAK BK-NP20 680MAH                    |       6.00
     10933 | CAM.  BATERIA REC. BAK BK-NP60 720MAH                    |       6.00
     10919 | CAM.  BATERIA REC. BAK BK-SBL10A 1050MAH                 |       5.00
     34724 | CAM.  BATERIA REC. MOX MO-0937 650MAH                    |       4.00
     96036 | CAM.  BATERIA REC. MOX MO-BG1 960MAH                     |       9.00
     82913 | CAM.  BATERIA REC. MOX MO-FD1/BD1 680MAH                 |       5.50
     89893 | CAM.  BATERIA REC. MOX MO-FE1 450MAH                     |       6.50
     89891 | CAM.  BATERIA REC. MOX MO-FR1 900MAH                     |       5.50
     89892 | CAM.  BATERIA REC. MOX MO-FT1 700MAH                     |       7.50
     89894 | CAM.  BATERIA REC. MOX MO-NP20 680MAH                    |       4.00
     53902 | CAM.  BATERIA REC. MOX MO-NP60 500MAH                    |       4.00
      9407 | CAM.  CABO AUDIO/VIDEO CAM. SAMSUNG                      |       2.00
     10940 | CAM.  CARRE.BATE. BAK KIT BK-603 + BAT FG1               |      11.00
     80700 | CAM.  CARRE.P. MOX MO-807 R-CR123A                       |       5.50
     57203 | CAM.  CARRE.P. MOX MO-CB720 4P AA 4300MAH                |       7.00
     73273 | CAM.  CARRE.P. MOX MO-CB732 4P AA 4300MAH                |       7.00
     73436 | CAM.  CARRE.P. MOX MO-CB734 4P AA 4000MAH AUTO ST        |       7.00
     75225 | CAM.  CARRE.P. MOX MO-CB752 2P AA 4300MAH AUTO ST        |       7.00
     80698 | CAM.  CARRE.P./BAT. MOX MO-806 CARTELA                   |       3.00
     81220 | CAM.  CARRE.P./BAT. MOX MO-811 220V                      |       2.50
     73073 | CAM.  CARRE.P./BAT. MOX MO-C730 CARTELA                  |       5.00
     73842 | CAM.  CARRE.P./BAT. MOX MO-CB738 CARTELA                 |       5.00
     74023 | CAM.  CARRE.P./BAT. MOX MO-CB740 2P AA 4300MAH           |       5.00
     75032 | CAM.  CARRE.P./BAT. MOX MO-CB750 (2AAA2300)              |       5.00
     79229 | CAM.  CARRE.P./BAT. MOX MO-CB792 4P AA 3600MAH           |       6.00
     21107 | CAM.  CARRE.SONY USB CP-AL Li-Ion                        |      22.00
      6803 | CAM.  LEITOR USB DTECH 2.0 12X1                          |       8.00
     86801 | CAM.  LEITOR USB MEMORIA 54X1 MTEK CR801P PORTATI        |       6.00
     88803 | CAM.  LEITOR USB MEMORIA 71X1 MTEK CR803P                |       7.00
     42262 | CAM.  LEITOR USB MEMORIA 9X1 OMEGA UCR422BK              |       6.50
      0236 | CAM.  LEITOR USB MEMORIA ENCORE ENUCR                    |       7.50
     68225 | CAM.  LEITOR USB MEMORIA GRIFFIN SY-662 (B)              |       4.50
     68289 | CAM.  LEITOR USB MEMORIA GRIFFIN SY-682 15IN1 (B)        |       4.50
     46200 | CAM.  LEITOR USB MEMORIA MOX MO-U46 NEGRO                |       3.50
     47231 | CAM.  LEITOR USB MEMORIA MOX MO-U47 23IN1                |       4.00
     69967 | CAM.  LEITOR USB MICRO DNS-T90 (B)                       |       4.00
     37424 | CAM.  LEITOR USB MICRO SD NEXCEL (B)                     |       2.50
     31787 | CAM.  LEITOR USB MICRO SD/SY-T62 ROSADO (B)              |       3.00
     33062 | CAM.  LEITOR USB MICRO SD/SY-T62 VERDE (B)               |       4.50
     31964 | CAM.  MALETA BUILT E-CBL-BLK NEGRO (G)                   |      95.00
     83305 | CAM.  MALETA BUILT E-CBL-BRY LILA (G)                    |      96.00
     19130 | CAM.  MALETA BUILT E-CTR-SFS ROSADO (G)                  |      43.00
     34118 | CAM.  MALETA BUILT E-HGC-BLK NEGRO (G)                   |      34.00
     19513 | CAM.  MALETA BUILT E-SCS-BLK NEGRO (G)                   |      23.00
     30691 | CAM.  MALETA BUILT E-SSC-SFS ROSADO (G)                  |      27.00
     33029 | CAM.  MALETA BUILT E-SSL-MDT BOLINHAS (G)                |      45.00
     31336 | CAM.  MALETA BUILT E-SSL-SFS ROSADO (G)                  |      43.00
     46303 | CAM.  MALETA CL DCB-303 NEGRO (G)                        |      16.00
     46305 | CAM.  MALETA CL DCB-305 NEGRO (G)                        |      19.00
     32522 | CAM.  MALETA CL EDC-1 NEGRO (G)                          |      13.00
     63203 | CAM.  MALETA CL QPB-201 GRIS (G)                         |       9.00
     63206 | CAM.  MALETA CL QPB-201 ROJO (G)                         |       9.00
     15305 | CAM.  MALETA CL TBC-305 NEGRO (G)                        |      21.00
     19166 | CAM.  MALETA CL TBC-307 NEGRO (G)                        |      40.00
     46759 | CAM.  MALETA IXUS BLANCO (G)                             |       7.50
     46760 | CAM.  MALETA IXUS NEGRO (G)                              |       7.50
     91796 | CAM.  MALETA MOX  WA ROJO                                |       2.00
     27664 | CAM.  MALETA MOX  WA ROSADO                              |       2.00
     44702 | CAM.  MALETA PORTA MEMORIA TARGUS TG-CPMC10 NEGRO        |      10.00
     61425 | CAM.  MALETA TARGUS TG-CPPK10 NEGRO                      |      11.00
     55844 | CAM.  MALETA TARGUS TG-HD10210 NEGRO                     |      10.00
     22125 | CAM.  MALETA TARGUS TG-HE10210 NEGRO                     |      10.50
     85524 | CAM.  MALETA TARGUS TG-RD10110 RAPID NEGRO               |       9.00
     40788 | CAM.  MALETA TARGUS TG-RD10510 NEGRO                     |      10.00
     42542 | CAM.  MALETA TARGUS TGC-CC425 NEGRO/ROJO                 |      11.00
     46058 | CAM.  MALETA TARGUS TGC-CC460 NEGRO/GRIS                 |      11.00
     12569 | CAM.  MALETA TARGUS TGC-DC125 NEGRO                      |      12.00
     32567 | CAM.  MALETA TARGUS TGC-DC325 NEGRO                      |      11.00
     21057 | CAM.  MALETA TARGUS TGC-EC210 NEGRO                      |      12.00
     44873 | CAM.  MALETA TARGUS TGC-EV110 NEGRO                      |      10.00
     52078 | CAM.  MALETA TARGUS TGC-NP520 NEGRO                      |      10.00
     52578 | CAM.  MALETA TARGUS TGC-NP525 NEGRO                      |      10.00
     56488 | CAM.  MALETA TARGUS TGC-NP560 NEGRO                      |      10.00
     23611 | CAM.  MEM. SD 2GB DANE-ELEC                              |       5.00
     82471 | CAM.  MEM. SD 2GB TRANSCEND MICRO TS2GUSD C/1ADAP        |       6.50
     32568 | CAM.  MEM. SDHC  32GB FUJIFILM CLASSE2                   |      46.00
     41101 | CAM.  MEM. SDHC 4GB DANE-ELEC MICRO 1ADAP.               |       7.50
     72884 | CAM.  MEM. SDHC 4GB DANE-ELEC MICRO USB/1ADP             |       9.00
     74186 | CAM.  MEM. SDHC 4GB FUJIFILM CLASSE2                     |       6.50
     21036 | CAM.  MEM. SDHC 4GB SANDISK MICRO C/ADAP/B35A            |       8.00
     16591 | CAM.  MEM. SDHC 4GB TRANSCEND MICRO TS4GUSDHC2 1AD       |      11.50
     87422 | CAM.  MEM. SDHC 8GB DANE-ELEC CLASS4                     |      14.00
      2806 | CAM.  MEM. SDHC 8GB DANE-ELEC MICRO USB/1ADP             |      15.00
     95485 | CAM.  MEM. SDHC 8GB DANE-ELEC PROLINE CLASS10            |      20.00
     74185 | CAM.  MEM. SDHC 8GB FUJIFILM CLASSE2                     |      13.00
     23984 | CAM.  MEM. SDHC-16GB DANE-ELEC MICRO 1ADP                |      27.00
     12548 | CAM.  MEM. SDHC-16GB DANE-ELEC MICRO USB/1ADP            |      32.00
     65847 | CAM.  MEM. SDHC-16GB DANE-ELEC PROLINE 200X CLAS10       |      34.00
     72408 | CAM.  MEM. SDHC-32GB DANE-ELEC CLASS4                    |      48.00
     78830 | CAM.  MEM. STICK  8GB SONY PRO-HG DUO MS-HX8A            |      29.00
      2722 | CAM.  MEM. STICK 2GB SANDISK PRO DUO                     |      10.00
     20480 | CAM.  MEM. STICK 2GB SONY PRO DUO MS-MT2G (E)            |      11.00
     12380 | CAM.  MEM. STICK 4GB SONY PRO DUO MS-MT4G (E)            |      15.00
     44436 | CAM.  MEM. STICK 4GB SONY PRO DUO OEM (E)                |      14.50
     88844 | CAM.  MEM. STICK 8GB SONY PRO DUO OEM (E)                |      24.50
     44416 | CAM.  MEM. STICK16GB SONY PRO DUO OEM (E)                |      45.00
     32562 | CAM.  MEM. STICK32GB SONY PRO DUO MS-MT32G               |     102.00
     36002 | CAM.  PILHA REC. MOX MO-AA3600B2 C/2 AA                  |       2.50
     50004 | CAM.  PILHA REC. MOX MO-AA5000B2 C/2 AA                  |       3.00
     42600 | CAM.  PILHA REC. MOX NI-MH 4600 C/2 AA4600B2             |       2.50
     51078 | CAM.  TRIPE TARGUS CRYPTON 10'' TG-GP5010  (E)           |      15.50
     13744 | CAM.  TRIPE TARGUS CRYPTON 6'' TG-GP3010  (E)            |      12.00
     39466 | CAM.  TRIPE TARGUS KIT 10.1 TGK-VK850 GRIS/NEGRO         |      26.00
     66581 | CAM.  TRIPE TARGUS PRO. 60'' TG-P60T NEGRO (E)           |      54.00
     65669 | CAM.  TRIPE TARGUS PRO. 66'' TG-P65T NEGRO  (E)          |      68.00
     10367 | CAM.  TRIPE TARGUS TG-DS500 KIT (E)                      |      28.00
     99857 | CAM.  TRIPE TARGUS TG-MP7010  (E)                        |      15.00
     45135 | CAM.  TRIPE TARGUS TG-RA1010 KIT 8EM1  (E)               |      13.50
     81282 | CAM.  TRIPE TARGUS TGK-FR300 KIT (E)                     |      14.50
     20388 | CAM.  TRIPE TARGUS TGK-WM200 KIT  (E)                    |      16.00
     74201 | CAM. FOTO FUJIFILM HS20 FINEPIX HDMI/FULL HD NEGRO       |     435.00
     29505 | CAM. FOTO FUJIFILM S2950 FINEPIX NEGRO                   |     195.00
     79544 | CAM. FOTO FUJIFILM S3200 FINEPIX 14MP HDMI NEGRO         |     210.00
     85471 | CAM. FOTO FUJIFILM S3400 FINEPIX 14MP HDMI NEGRO         |     235.00
     41402 | CAM. FOTO JVC GC-FM1 HD MEMORY AZUL                      |     119.00
     41419 | CAM. FOTO JVC GC-FM1 HD MEMORY NEGRO                     |     119.00
     41426 | CAM. FOTO JVC GC-FM1 HD MEMORY ROSADO                    |     119.00
     22158 | CAM. FOTO KODAK C123 12 MP GRIS                          |      84.00
     90288 | CAM. FOTO KODAK C123 12 MP ROJO                          |      84.00
     12387 | CAM. FOTO KODAK C123 12MP AZUL                           |      84.00
     61530 | CAM. FOTO KODAK C1530 14MP BLANCO                        |      72.00
     15506 | CAM. FOTO KODAK C1550 16MP AZUL                          |      82.00
     71550 | CAM. FOTO KODAK C1550 16MP PLATA                         |      82.00
     14511 | CAM. FOTO KODAK M200 10MP LILA                           |      80.00
     45548 | CAM. FOTO KODAK M200 10MP ROJO                           |      80.00
     45522 | CAM. FOTO KODAK M522 14MP ROJO                           |      85.00
     65324 | CAM. FOTO KODAK M532 14MP AZUL                           |      90.00
     13987 | CAM. FOTO KODAK M532 14MP ROJO                           |      90.00
     74532 | CAM. FOTO KODAK M532 14MP VERDE                          |      90.00
     55266 | CAM. FOTO KODAK M552 14MP AZUL                           |     100.00
     65552 | CAM. FOTO KODAK M552 14MP NARANJA                        |     100.00
     23655 | CAM. FOTO KODAK M552 14MP NEGRO                          |     100.00
     98552 | CAM. FOTO KODAK M552 14MP ROSADO                         |     100.00
     85771 | CAM. FOTO KODAK M577 14MP HDMI/TOUCH LILA                |     135.00
     34577 | CAM. FOTO KODAK M577 14MP HDMI/TOUCH NARANJA             |     135.00
     57769 | CAM. FOTO KODAK M577 14MP HDMI/TOUCH NEGRO               |     135.00
     58362 | CAM. FOTO KODAK M583 14MP AZUL                           |     126.00
     25838 | CAM. FOTO KODAK M583 14MP LILA                           |     126.00
     78583 | CAM. FOTO KODAK M583 14MP ROJO                           |     126.00
     99590 | CAM. FOTO KODAK M590 SLIM PLATA                          |     106.00
     42102 | CAM. FOTO KODAK PLAYSPORT NEGRO/BLANCO                   |     135.00
     90556 | CAM. FOTO KODAK Z-990 12MP NEGRO                         |     260.00
     40207 | CAM. FOTO OLYMPUS FE-4020 14MP MARRON S/G                |      80.00
     40303 | CAM. FOTO OLYMPUS FE-4030 14MP BLANCO S/G                |      84.00
     56237 | CAM. FOTO OLYMPUS FE-5030 14MP AZUL S/G                  |      92.00
     35451 | CAM. FOTO OLYMPUS FE-5030 14MP BLANCO S/G                |      92.00
     50304 | CAM. FOTO OLYMPUS FE-5030 14MP MARRON S/G                |      92.00
     50830 | CAM. FOTO OLYMPUS FE-5030 14MP ROSADO S/G                |      92.00
     60093 | CAM. FOTO OLYMPUS SP-600UZ HDMI S/G                      |     174.00
     80004 | CAM. FOTO OLYMPUS SP-800UZ 14MP PLATA S/G                |     310.00
     70110 | CAM. FOTO OLYMPUS STYLUS 7010 12MP GRIS S/G              |     105.00
     10771 | CAM. FOTO OLYMPUS STYLUS 7010 12MP ROSADO S/G            |     105.00
     34542 | CAM. FOTO OLYMPUS SZ-20 HDMI/3D 16MP NEGRO               |     305.00
     50331 | CAM. FOTO OLYMPUS SZ-20 HDMI/3D 16MP PLATA               |     305.00
     34146 | CAM. FOTO OLYMPUS VG-110 12MP ROJO S/G                   |      83.00
     33828 | CAM. FOTO OLYMPUS VG-120 14MP NEGRO S/G                  |      96.00
     77369 | CAM. FOTO OLYMPUS VG-120 14MP PLATA S/G                  |      96.00
     33835 | CAM. FOTO OLYMPUS VG-120 14MP ROJO S/G                   |      96.00
     81203 | CAM. FOTO OLYMPUS VR-310 14MP PLATA S/G                  |     138.00
     22811 | CAM. FOTO OLYMPUS VR-310 14MP ROJO S/G                   |     138.00
     36052 | CAM. FOTO OLYMPUS X-36 12MP NEGRO S/G                    |      72.00
     36818 | CAM. FOTO OLYMPUS X-36 12MP PLATA S/G                    |      70.00
     80326 | CAM. FOTO SAMSUNG ES80 12.2MP NEGRO                      |      81.00
     80717 | CAM. FOTO SAMSUNG ES80 12.2MP PLATA                      |      81.00
     80672 | CAM. FOTO SAMSUNG ES80 12.2MP ROSADO                     |      81.00
     20991 | CAM. FOTO SAMSUNG PL20 14.2MP ROSADO                     |     100.00
     90789 | CAM. FOTO SAMSUNG PL210 14.2MP AZUL                      |     145.00
     21087 | CAM. FOTO SAMSUNG PL210 14.2MP PLATA                     |     145.00
     33246 | CAM. FOTO SAMSUNG SH100 14.2MP +4GB+CAPA WI-FI           |     134.00
     60152 | CAM. FOTO SAMSUNG ST60 12.2MP ROJO                       |     114.00
     99287 | CAM. FOTO SAMSUNG ST65 14.2MP NEGRO                      |      95.00
     65281 | CAM. FOTO SAMSUNG ST65 14.2MP PLATA                      |      95.00
     92097 | CAM. FOTO SAMSUNG ST700 16MP PLATA                       |     222.00
     40865 | CAM. FOTO SAMSUNG ST95 16.1MP LILA                       |     151.00
     86442 | CAM. FOTO SAMSUNG ST95 16.1MP NARANJA                    |     151.00
     90830 | CAM. FOTO SAMSUNG ST95 16.1MP NEGRO                      |     151.00
     22964 | CAM. FOTO SAMSUNG ST95 16.1MP PLATA                      |     151.00
     97149 | CAM. FOTO SAMSUNG ST95 16.1MP ROSADO                     |     151.00
     70546 | CAM. FOTO SONY DSC-H70 AZUL                              |     222.00
     70241 | CAM. FOTO SONY DSC-H70 PLATA                             |     222.00
     70328 | CAM. FOTO SONY DSC-H70 ROJO                              |     222.00
     89177 | CAM. FOTO SONY DSC-T110 CYBERSHOT NEGRO                  |     230.00
     11554 | CAM. FOTO SONY DSC-T110 CYBERSHOT PLATA                  |     230.00
     44769 | CAM. FOTO SONY DSC-T110 CYBERSHOT ROJO                   |     230.00
     71661 | CAM. FOTO SONY DSC-TX1 CYBERSHOT ROSADO                  |     300.00
